"word","definition"
"purpuriparous","Producing, or connected with, a purple-colored secretion; as, the purpuriparous gland of certain gastropods."""
"alcoholmeter","An instrument for determining the strength of spirits, with a scale graduated so as to indicate the percentage of pure alcohol, either by weight or volume. It is usually a form of hydrometer with a special scale."""
"necronite","Fetid feldspar, a mineral which, when struck, exhales a fetid odor."""
"indulged","of Indulge"
"missing","of Miss"
"nerite","Any mollusk of the genus Nerita."
"tests","of Testa"
"apathist","One who is destitute of feeling."
"significant","That which has significance; a sign; a token; a symbol."
"pantagruelism","An assumption of buffoonery to cover some serious purpose."
"vitalization","The act or process of vitalizing, or infusing the vital principle."""
"instabilities","of Instability"
"fescennine","Pertaining to, or resembling, the Fescennines."""
"flush","A hand of cards of the same suit."
"amused","of Amuse"
"pediculati","An order of fishes including the anglers. See Illust. of Angler and Batfish."
"gise","Guise; manner."
"capsizing","of Capsize"
"prehensile","Adapted to seize or grasp; seizing; grasping; as, the prehensile tail of a monkey."""
"right","A just judgment or action; that which is true or proper; justice; uprightness; integrity."
"spoilful","Wasteful; rapacious."
"mainsail","The principal sail in a ship or other vessel."
"miller","The eagle ray."
"historiography","The art of employment of an historiographer."
"stapled","of Staple"
"harem","The family of wives and concubines belonging to one man, in Mohammedan countries; a seraglio."""
"warp","A rope used in hauling or moving a vessel, usually with one end attached to an anchor, a post, or other fixed object; a towing line; a warping hawser."""
"compressible","Capable of being pressed together or forced into a narrower compass, as an elastic or spongy substance."""
"regress","To go back; to return to a former place or state."
"counterpane","A coverlet for a bed, -- originally stitched or woven in squares or figures."""
"macher","One who marches."
"motor","A prime mover; a machine by means of which a source of power, as steam, moving water, electricity, etc., is made available for doing mechanical work."""
"puncheon","A split log or heavy slab with the face smoothed; as, a floor made of puncheons."""
"corpora lutea","of Corpus"
"mala","of Malum"
"chariot","A four-wheeled pleasure or state carriage, having one seat."""
"sapphire","Of or resembling sapphire; sapphirine; blue."
"nursery","The place, or apartment, in a house, appropriated to the care of children."""
"entreatful","Full of entreaty. [R.] See Intreatful."
"countermanding","of Countermand"
"decentralization","The action of decentralizing, or the state of being decentralized."""
"brag","A boast or boasting; bragging; ostentatious pretense or self glorification."
"dumous","Having a compact, bushy form."""
"pygropodes","A division of swimming birds which includes the grebes, divers, auks, etc., in which the legs are placed far back."""
"vent","A baiting place; an inn."
"pointrel","A graving tool."
"giddy-head","A person without thought fulness, prudence, or judgment."""
"banishment","The act of banishing, or the state of being banished."""
"murine","One of a tribe of rodents, of which the mouse is the type."""
"borable","Capable of being bored."
"plow","Alt. of Plough"
"renege","To revoke."
"miseducate","To educate in a wrong manner."
"voltatype","An electrotype."
"realistic","Of or pertaining to the realists; in the manner of the realists; characterized by realism rather than by imagination."
"cement","To unite firmly or closely."
"repercussion","The act of driving back, or the state of being driven back; reflection; reverberation; as, the repercussion of sound."""
"inarticulately","In an inarticulate manner."
"acuate","Sharpened; sharp-pointed."
"frosty","Covered with frost; as, the grass is frosty."""
"suborning","of Suborn"
"spread","A cloth used as a cover for a table or a bed."
"volitient","Exercising the will; acting from choice; willing, or having power to will."""
"inadvertency","An effect of inattention; a result of carelessness; an oversight, mistake, or fault from negligence."""
"whiggish","Of or pertaining to Whigs; partaking of, or characterized by, the principles of Whigs."""
"obligatory","Binding in law or conscience; imposing duty or obligation; requiring performance or forbearance of some act; -- often followed by on or upon; as, obedience is obligatory on a soldier."""
"defamer","One who defames; a slanderer; a detractor; a calumniator."
"establish","To originate and secure the permanent existence of; to found; to institute; to create and regulate; -- said of a colony, a state, or other institutions."""
"totemism","Superstitious regard for a totem; the worship of any real or imaginary object; nature worship."
"clout","A swadding cloth."
"symmetrized","of Symmetrize"
"blue","Low in spirits; melancholy; as, to feel blue."""
"annihilating","of Annihilate"
"suffering","The bearing of pain, inconvenience, or loss; pain endured; distress, loss, or injury incurred; as, sufferings by pain or sorrow; sufferings by want or by wrongs."""
"autochthonous","Aboriginal; indigenous; native."
"barytes","Barium sulphate, generally called heavy spar or barite. See Barite."""
"jilt","To cast off capriciously or unfeeling, as a lover; to deceive in love."""
"revoke","The act of revoking."
"cyclostylar","Relating to a structure composed of a circular range of columns, without a core or building within."""
"chromatism","An abnormal coloring of plants."
"creditrix","A female creditor."
"sky","To throw towards the sky; as, to sky a ball at cricket."""
"economizing","of Economize"
"yeast","Spume, or foam, of water."""
"latchet","The string that fastens a shoe; a shoestring."
"portance","See Port, carriage, demeanor."""
"bisetous","Having two bristles."
"noosed","of Noose"
"maker","The person who makes a promissory note."
"elucubrate","See Lucubrate."
"undersheriffry","Undershrievalty."
"bedphere","See Bedfere."
"fag","To tire by labor; to exhaust; as, he was almost fagged out."""
"fourpence","A British silver coin, worth four pence; a groat."""
"blowth","A blossoming; a bloom."
"errorful","Full of error; wrong."
"lack","To be without or destitute of; to want; to need."
"procephalic","Pertaining to, or forming, the front of the head."""
"slouch","To droop, as the head."""
"logging","The business of felling trees, cutting them into logs, and transporting the logs to sawmills or to market."""
"obscure","Of or pertaining to darkness or night; inconspicuous to the sight; indistinctly seen; hidden; retired; remote from observation; unnoticed."
"fox","To make sour, as beer, by causing it to ferment."""
"loomed","of Loom"
"crack","A brief time; an instant; as, to be with one in a crack."""
"strix","One of the flutings of a column."
"northmen","of Northman"
"vitrify","To convert into, or cause to resemble, glass or a glassy substance, by heat and fusion."""
"combbroach","A tooth of a wool comb."
"plate","To cover or overlay with plates of metal; to arm with metal for defense."
"outdo","To go beyond in performance; to excel; to surpass."
"police","That which concerns the order of the community; the internal regulation of a state."
"joisted","of Joist"
"pinkness","Quality or state of being pink."
"discongruity","Incongruity; disagreement; unsuitableness."
"waggle","To reel, sway, or move from side to side; to move with a wagging motion; to waddle."""
"vegetal","Of or pertaining to vegetables, or the vegetable kingdom; of the nature of a vegetable; vegetable."""
"distyle","Having two columns in front; -- said of a temple, portico, or the like."""
"basket","To put into a basket."
"deprivation","The act of depriving, dispossessing, or bereaving; the act of deposing or divesting of some dignity."""
"staddle","A small tree of any kind, especially a forest tree."""
"fuel","Any matter used to produce heat by burning; that which feeds fire; combustible matter used for fires, as wood, coal, peat, etc."""
"phytonomy","The science of the origin and growth of plants."
"amate","To dismay; to dishearten; to daunt."
"sandal","A kind of shoe consisting of a sole strapped to the foot; a protection for the foot, covering its lower surface, but not its upper."""
"fruition","Use or possession of anything, especially such as is accompanied with pleasure or satisfaction; pleasure derived from possession or use."""
"dolcino","Alt. of Dulcino"
"uprouse","To rouse up; to rouse from sleep; to awake; to arouse."
"bandy-legged","Having crooked legs."
"novel","Of recent origin or introduction; not ancient; new; hence, out of the ordinary course; unusual; strange; surprising."""
"megilp","Alt. of Megilph"
"nurture","To feed; to nourish."
"registrate","To register."
"mull","To work (over) mentally; to cogitate; to ruminate; -- usually with over; as, to mull over a thought or a problem."""
"millenary","The space of a thousand years; a millennium; also, a Millenarian."""
"undress","An authorized habitual dress of officers and soldiers, but not full-dress uniform."""
"quarter","Place of lodging or temporary residence; shelter; entertainment; -- usually in the plural."
"mataco","The three-banded armadillo (Tolypeutis tricinctus). See Illust. under Loricata."
"tokin","A tocsin."
"pinnock","The tomtit."
"slate","To cover with slate, or with a substance resembling slate; as, to slate a roof; to slate a globe."""
"boyhood","The state of being a boy; the time during which one is a boy."
"fondling","The act of caressing; manifestation of tenderness."
"bisulphuret","See Bisulphide."
"transplant","To remove, and plant in another place; as, to transplant trees."""
"nicery","Nicety."
"undergrow","To grow to an inferior, or less than the usual, size or height."""
"accent","A mark placed at the right hand of a letter, and a little above it, to distinguish magnitudes of a similar kind expressed by the same letter, but differing in value, as y', y''."""
"ureal","Of or pertaining to urea; containing, or consisting of, urea; as, ureal deposits."""
"calc-tufa","See under Calcite."
"duodecimal","Proceeding in computation by twelves; expressed in the scale of twelves."
"rent","of Rend"
"peculating","of Peculate"
"vise","To examine and indorse, as a passport; to visa."""
"stand","Rank; post; station; standing."
"serpulite","A fossil serpula shell."
"receiver","A capacious vessel for receiving steam from a distant boiler, and supplying it dry to an engine."""
"ental","Pertaining to, or situated near, central or deep parts; inner; -- opposed to ectal."""
"resipiscence","Wisdom derived from severe experience; hence, repentance."""
"doom","Judgment; judicial sentence; penal decree; condemnation."
"flanker","To defend by lateral fortifications."
"vespilloes","of Vespillo"
"severity","Gravity or austerity; extreme strictness; rigor; harshness; as, the severity of a reprimand or a reproof; severity of discipline or government; severity of penalties."""
"ruiniform","Having the appearance of ruins, or of the ruins of houses; -- said of certain minerals."""
"complicateness","Complexity."
"hand","To seize; to lay hands on."
"confidence","Having self-reliance; bold; undaunted."
"vermes","An extensive artificial division of the animal kingdom, including the parasitic worms, or helminths, together with the nemerteans, annelids, and allied groups. By some writers the branchiopods, the bryzoans, and the tunicates are also included. The name was used in a still wider sense by Linnaeus and his followers."""
"differingly","In a differing or different manner."
"backstay","A rope or stay extending from the masthead to the side of a ship, slanting a little aft, to assist the shrouds in supporting the mast."""
"burlap","A coarse fabric, made of jute or hemp, used for bagging; also, a finer variety of similar material, used for curtains, etc."""
"liflode","Livelihood."
"botcher","A clumsy or careless workman; a bungler."
"tabouret","A seat without arms or back, cushioned and stuffed: a high stool; -- so called from its resemblance to a drum."""
"bated","of Bate"
"smear","Hence, a spot made by, or as by, an unctuous or adhesive substance; a blot or blotch; a daub; a stain."""
"indagate","To seek or search out."
"mole","A spot, mark, or small permanent protuberance on the human body; esp., a spot which is dark-colored, from which commonly issue one or more hairs."""
"umbilicus","The depression, or mark, in the median line of the abdomen, which indicates the point where the umbilical cord separated from the fetus; the navel."""
"mimotannic","Pertaining to, or designating, a variety of tannin or tannic acid found in Acacia, Mimosa, etc."""
"neighborly","Apropriate to the relation of neighbors; having frequent or familiar intercourse; kind; civil; social; friendly."
"exceptless","Not exceptional; usual."
"sigil","A seal; a signature."
"salsuginous","Growing in brackish places or in salt marshes."
"sudatories","of Sudatory"
"spit","To eject from the mouth; to throw out, as saliva or other matter, from the mouth."""
"dramatical","Of or pertaining to the drama; appropriate to, or having the qualities of, a drama; theatrical; vivid."""
"chit","An excrescence on the body, as a wart."""
"smite","To strike; to collide; to beat."
"incumbent","Lying, resting, or imposed, as a duty or obligation; obligatory; always with on or upon."""
"kit","A group of separate parts, things, or individuals; -- used with whole, and generally contemptuously; as, the whole kit of them."""
"indorse","To cover the back of; to load or burden."
"allow","To admit; to concede; to make allowance or abatement."
"cavalier","A work of more than ordinary height, rising from the level ground of a bastion, etc., and overlooking surrounding parts."""
"americanism","A custom peculiar to the United States or to America; an American characteristic or idea."
"hackney","A horse or pony kept for hire."
"notelessness","A state of being noteless."
"propolis","Same as Bee glue, under Bee."""
"protest","A declaration made by a party, before or while paying a tax, duty, or the like, demanded of him, which he deems illegal, denying the justice of the demand, and asserting his rights and claims, in order to show that the payment was not voluntary."""
"ethereous","Pertaining to, or resembling, ether."""
"tarsal","A tarsal bone or cartilage; a tarsale."
"tamanoir","The ant-bear."
"piedouche","A pedestal of small size, used to support small objects, as busts, vases, and the like."""
"courtly","Elegant; polite; courtlike; flattering."
"posterior","Situated behind; hinder; -- opposed to anterior."
"typical","Of the nature of a type; representing something by a form, model, or resemblance; emblematic; prefigurative."""
"thieve","To practice theft; to steal."
"horner","The British sand lance or sand eel (Ammodytes lanceolatus)."
"eruption","The breaking out of pimples, or an efflorescence, as in measles, scarlatina, etc."""
"girondist","Of or pertaining to the Girondists."
"mars","One of the planets of the solar system, the fourth in order from the sun, or the next beyond the earth, having a diameter of about 4,200 miles, a period of 687 days, and a mean distance of 141,000,000 miles. It is conspicuous for the redness of its light."""
"sejeant","Sitting, as a lion or other beast."""
"strombuliform","Coiled into the shape of a screw or a helix."
"swash","An oval figure, whose moldings are oblique to the axis of the work."""
"rickets","A disease which affects children, and which is characterized by a bulky head, crooked spine and limbs, depressed ribs, enlarged and spongy articular epiphyses, tumid abdomen, and short stature, together with clear and often premature mental faculties. The essential cause of the disease appears to be the nondeposition of earthy salts in the osteoid tissues. Children afflicted with this malady stand and walk unsteadily. Called also rachitis."""
"adjudging","of Adjudge"
"relentment","The act or process of relenting; the state of having relented."
"shelter","That which covers or defends from injury or annoyance; a protection; a screen."
"frontispiece","An ornamental figure or illustration fronting the first page, or titlepage, of a book; formerly, the titlepage itself."""
"crazy","Broken, weakened, or dissordered in intellect; shattered; demented; deranged."""
"hummel","To separate from the awns; -- said of barley."
"storage","Space for the safe keeping of goods."
"ladyfish","A labroid fish (Harpe rufa) of Florida and the West Indies."
"bleaky","Bleak."
"thienyl","The hypothetical radical C4H3S, regarded as the essential residue of thiophene and certain of its derivatives."""
"caloricity","A faculty in animals of developing and preserving the heat necessary to life, that is, the animal heat."""
"imperforata","A division of Foraminifera, including those in which the shell is not porous."""
"say","To repeat; to rehearse; to recite; to pronounce; as, to say a lesson."""
"magnificent","Grand in appearance; exhibiting grandeur or splendor; splendid' pompous."
"bewildered","of Bewilder"
"calymene","A genus of trilobites characteristic of the Silurian age."
"macaco","Any one of several species of lemurs, as the ruffed lemur (Lemur macaco), and the ring-tailed lemur (L. catta)."""
"bondsman","A slave; a villain; a serf; a bondman."
"xebec","A small three-masted vessel, with projecting bow stern and convex decks, used in the Mediterranean for transporting merchandise, etc. It carries large square sails, or both. Xebecs were formerly armed and used by corsairs."""
"heteroplastic","Producing a different type of organism; developing into a different form of tissue, as cartilage which develops into bone."""
"sopite","To lay asleep; to put to sleep; to quiet."
"marbled","of Marble"
"austrian","Of or pertaining to Austria, or to its inhabitants."""
"crown","To effect a lodgment upon, as upon the crest of the glacis, or the summit of the breach."""
"cete","One of the Cetacea, or collectively, the Cetacea."""
"digger","One who, or that which, digs."""
"vermeology","A discourse or treatise on worms; that part of zoology which treats of worms; helminthology."
"purificative","Having power to purify; tending to cleanse."
"quadrans","The fourth of a penny; a farthing. See Cur."
"oedematous","Pertaining to, or of the nature of, edema; affected with edema."""
"loomed","of Loom"
"immoderation","Want of moderation."
"assert","To maintain or defend, as a cause or a claim, by words or measures; to vindicate a claim or title to; as, to assert our rights and liberties."""
"precoces","Same as Praecoces."
"finial","The knot or bunch of foliage, or foliated ornament, that forms the upper extremity of a pinnacle in Gothic architecture; sometimes, the pinnacle itself."""
"spalpeen","A scamp; an Irish term for a good-for-nothing fellow; -- often used in good-humored contempt or ridicule."
"triplet","A collection or combination of three of a kind; three united."
"balladry","Ballad poems; the subject or style of ballads."
"radiometer","An instrument designed for measuring the mechanical effect of radiant energy."
"ret","To prepare for use, as flax, by separating the fibers from the woody part by process of soaking, macerating, and other treatment."""
"viscum","Birdlime, which is often made from the berries of the European mistletoe."""
"stub","A part of a leaf in a check book, after a check is torn out, on which the number, amount, and destination of the check are usually recorded."""
"septomaxillary","A small bone between the nasal septum and the maxilla in many reptiles and amphibians."
"distribution","The steps or operations by which steam is supplied to and withdrawn from the cylinder at each stroke of the piston; viz., admission, suppression or cutting off, release or exhaust, and compression of exhaust steam prior to the next admission."""
"bugleweed","A plant of the Mint family and genus Lycopus; esp. L. Virginicus, which has mild narcotic and astringent properties, and is sometimes used as a remedy for hemorrhage."""
"jetties","of Jetty"
"paraphernalia","Something reserved to a wife, over and above her dower, being chiefly apparel and ornaments suited to her degree."""
"wimple","To draw down, as a veil; to lay in folds or plaits, as a veil."""
"tie","An equality in numbers, as of votes, scores, etc., which prevents either party from being victorious; equality in any contest, as a race."""
"compilement","Compilation."
"flouring","of Flour"
"thrasonical","Of or pertaining to Thraso; like, or becoming to, Thraso; bragging; boastful; vainglorious."""
"egret","The name of several species of herons which bear plumes on the back. They are generally white. Among the best known species are the American egret (Ardea, / Herodias, egretta); the great egret (A. alba); the little egret (A. garzetta), of Europe; and the American snowy egret (A. candidissima)."""
"excuse","To free from an impending obligation or duty; hence, to disengage; to dispense with; to release by favor; also, to remit by favor; not to exact; as, to excuse a forfeiture."""
"mull","To dispirit or deaden; to dull or blunt."
"doctorate","To make (one) a doctor."
"nomenclatural","Pertaining or according to a nomenclature."
"stint","To put an end to; to stop."
"pursue","To follow a matter judicially, as a complaining party; to act as a prosecutor."""
"milanese","A native or inhabitant of Milan; people of Milan."
"rust","The reddish yellow coating formed on iron when exposed to moist air, consisting of ferric oxide or hydroxide; hence, by extension, any metallic film of corrosion."""
"iodoform","A yellow, crystalline, volatile substance, CI3H, having an offensive odor and sweetish taste, and analogous to chloroform. It is used in medicine as a healing and antiseptic dressing for wounds and sores."""
"righten","To do justice to."
"munity","Freedom; security; immunity."
"fore","In the part that precedes or goes first; -- opposed to aft, after, back, behind, etc."""
"ineptly","Unfitly; unsuitably; awkwardly."
"thegnhood","Thanehood."
"uncini","of Uncinus"
"hypogyn","An hypogynous plant."
"inefficient","Incapable of, or indisposed to, effective action; habitually slack or remiss; effecting little or nothing; as, inefficient workmen; an inefficient administrator."""
"slanting","Oblique; sloping."
"gulp","To swallow eagerly, or in large draughts; to swallow up; to take down at one swallow."""
"rabbit","Any of the smaller species of the genus Lepus, especially the common European species (Lepus cuniculus), which is often kept as a pet, and has been introduced into many countries. It is remarkably prolific, and has become a pest in some parts of Australia and New Zealand."""
"old","Old-fashioned; wonted; customary; as of old; as, the good old times; hence, colloquially, gay; jolly."""
"vessel","Any tube or canal in which the blood or other fluids are contained, secreted, or circulated, as the arteries, veins, lymphatics, etc."""
"maybe","Possible; probable, but not sure."""
"conure","An American parrakeet of the genus Conurus. Many species are known. See Parrakeet."
"wave","To move one way and the other; to brandish."
"romanic","Related to the Roman people by descent; -- said especially of races and nations speaking any of the Romanic tongues."
"unargued","Not argued or debated."
"bail","The security given for the appearance of a prisoner in order to obtain his release from custody of the officer; as, the man is out on bail; to go bail for any one."""
"monophanous","Having one and the same appearance; having a mutual resemblance."
"hircinous","Of a strong goatish smell."
"whimsically","In a whimsical manner; freakishly."
"rip","A term applied to a mean, worthless thing or person, as to a scamp, a debauchee, or a prostitute, or a worn-out horse."""
"stupefy","To deprive of material mobility."
"quica","A small South American opossum (Didelphys quica), native of Guiana and Brazil. It feeds upon insects, small birds, and fruit."""
"kerf","A notch, channel, or slit made in any material by cutting or sawing."""
"clarify","To grow or become clear or transparent; to become free from feculent impurities, as wine or other liquid under clarification."""
"kakaralli","A kind of wood common in Demerara, durable in salt water, because not subject to the depredations of the sea worm and barnacle."""
"miscreancy","The quality of being miscreant; adherence to a false religion; false faith."
"nitride","A binary compound of nitrogen with a more metallic element or radical; as, boric nitride."""
"plancher","The under side of a cornice; a soffit."
"helmet","The upper part of a retort."
"mortalness","Quality of being mortal; mortality."
"moider","To toil."
"pediculati","An order of fishes including the anglers. See Illust. of Angler and Batfish."
"retouch","To correct or change, as a negative, by handwork."""
"countries","of Country"
"cavo-relievo","Cavo-rilievo."
